
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2020 through March 2020
21/03/2020	Page 1
7:05:24 am
Item No.	Item Name	April	May	June	July	August	September	October	November	December	January	February	March	Total
MET125	Monstera Round Metal Pot 12cmH	18	11	0	0	24	11	0	1	0	0	0	72	137
MET127	Monstera Metal Pot 16.5cmH	9	0	0	8	12	17	0	0	0	4	0	6	56
MET128	Hibiscus Round Metal Pot 12cmH	6	11	25	11	15	0	0	1	0	24	0	46	139
MET129	Flamingo Round Metal Pot 12cmH	6	6	0	2	3	0	0	0	0	4	5	3	29
MET131	Secret Garden Tin Pot w/Handle	0	12	15	8	0	2	0	1	12	6	0	2	58
MET132	Birdcage Metal Pot with Handle	0	17	12	20	1	7	0	11	14	6	0	0	88
MET133	Flamingos Metal Pot w/Handle	6	6	10	18	0	12	2	6	0	0	0	0	60
MET134	Monstera Oval Tin Pot 6.5cmH	16	0	15	0	7	19	12	18	0	6	8	0	101
MET135	Rose Oval Tin Pot 6.5cmH	58	20	26	10	11	4	14	1	0	8	10	0	162
MET136	Cactus Oval Metal Pot 6.5cmH	11	17	38	6	15	6	0	10	0	0	2	3	108
MET137	Jardin Oval Metal Pot 6.5cmH	10	6	11	3	1	0	0	44	0	1	0	3	79
MET138	Hibiscus Oval Tin Pot w/Handle	4	0	23	0	0	0	0	6	0	0	12	6	51
MET139	Flamingo Oval Tin Pot w/Handle	4	4	0	0	12	6	0	0	0	0	6	3	35
MET140	Paris Oval Tin Pot w/Handle	7	0	2	0	0	3	0	15	0	0	5	11	43
MET141	Fleurs Oval Tin Pot w/Handle	7	1	19	0	0	2	0	32	0	-1	6	15	81
MET142	Hibiscus Metal Pot S/3 in Tray	8	6	1	7	4	4	2	1	0	3	3	6	45
MET143	Cactus Metal Pot S/3 in Tray	12	2	9	0	14	14	2	5	0	15	5	8	86
MET144	Flamingo Metal Pot S/3 in Tray	4	1	7	3	3	1	2	3	0	3	0	3	30
