TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item]

March 2020
6/04/2020,Page 1
10:00:24 am
Item No.,Units Sold

CA40.317,1
CA40.323,1
CA40.326,3
CA40.327,2
CA40.602,1
CA40.612,-1
CA40.614,3
CBFLAS,1
CCS3,4
CDOO1,4
CDOO2,0
CDOO3,-2
CE099MI,9
CE099PK,8
CE101,6
CE102,3
CE103,1
CE104,4
CE107,4
CE112,18
CE115,23
CE117,7
CE118,3
CE121,-1
CE132MO,13
CE148,10
CE149,-1
CE150,16
CE151,4
CE152,1
CE154,11
CE155,6
CE157,9
CE159,2
CE166GN,25
CE166WH,64
CE169,9
CE170,18
CE172,26
CE175,25
CE177BKG,6
CE177WHG,6
CE179GN,40
CE179WH,6
CE183BK,16
CE183WH,11
CE185BK,8
CE185MO,4
CH0006,34
CL20,2
CL21,2
CL22,2
CP03,2
CR1010BL,2
CR1010PI,3
CR1014,1
CR1024MO,3
CR50BP,1
CR50P10WH,2
CR50P29WH,1
CR50P31GR,4
CR50P31WH,5
CR50P32RG,2
CR50P32WHBP,1
CR50P32WHGRY,1
CR50P33BK,1
CR50P33KRBK,7
CR50P33KRRE,1
CR50P33KRWH,4
CR50P33SI,3
CR50P37BKPW,1
CR50P40KR,1
CR50WH,3
CR60PDWH,1
CREDIT,-106
CREE1,15
CROL1BR,29
CROL1PB,23
CROL2BR,13
CROL3BR,2
CROL5BR,1
CROL5PB,1
CS21,2
CS26,6
CS27,1
CS29,2
CS31,9
CS33,1
CS34,3
CS35,11
CS36,12
CS37,1
CS38,1
CS39,1
CSC,2
CSCMIXS,1
CSCSPS,2
CSCWHR,1
CSEMCS,1
CSEMOS,8
CSEPKS,6
CSH2,1
CSH3,1
CU6501,13
CUB5,5
CUBR,17
CUC,3
CUTP,8
CWDHPS,1
CWDRES,2
CWDWHS,6
DEAM,2
DM001,3
DM003,1
DM006,1
ECWHR,5
ECWHS,3
EN,6
EN100NA,13
EP5070BB,1
EP5070BYE,1
EP5070CH,2
EP5070HP,2
EP5070OR,1
EP5070VI,2
EXCAR,31
EXCAR D,11
FACTORY ITEMS,57
FB1,2
FB1212,3
FB2,1
FC001R,1
FC001S,1
FC002R,1
FC002S,1
FDGMED,100
FDGSM,100
FDGXS,100
FF40,2
FF50,1
FFNRPR,1
FL002CR,12
FL002OR,11
FL002PU,6
FL009DP,9
FL010,10
FL029LA,8
FL044PK,55
FL044PKGN,5
FL044WH,10
FL044YE,12
FL045BL,3
FL045LPK,8
FL047DPK,9
FL047LPK,13
FL048DPK,23
FL049PK,1
FL052PK,9
FL053BL,23
FL053PK,6
FL054MX,12
FL054RE,6
FL055DPK,16
FL056DPK,16
FL056PK,3
FL056RE,19
FL056WH,5
FL057RE,6
FL059PK,1
FL060,14
FL061,6
FL063,40
FL068,65
FL069,2
FL070,33
FL071DPK,98
FL071PK,73
FL071VPK,16
FL071WH,12
FL072PK,3
FL073CO,5
FL073PK,5
FL074WH,1
FL075CR,9
FL076DPK,19
FL076LPK,7
FL077,10
FL081CR,72
FL081PK,59
FL082BU,56
FL082PK,46
FL082WH,25
FL083,147
FL084,9
FL085,98
FL086,10
FL087,27
FL088,26
FL089,59
FL090,45
FL091,9
FL092BU,18
FL092OR,10
FL092PK,10
FL093DP,31
FL093PU,41
FL094BU,7
FL094CR,36
FL095BU,4
FL095DP,10
FL097,10
FL098,67
FL099,19
FL100,77
FL101BU,3
FL101DP,3
FL102,3
FLNWCE,1
FLNWCOF,2
FLNWCR,4
FLNWLA,5
FLNWWH,1
FLOS,12
FPB01,60
FPB02,5
FPB05SP,2
FREEFREIGHT,6
FS012,1
GADM,7
GARC1,28
GARC2,5
GARL,5
GAUB,36
GAUR,23
GAVI,3
GBBE2,1
GBDOG1,28
GBDR,20
GBEE1,69
GBEL,36
GBEO,12
GBEP1,34
GBIG,8
GBIN,1
GBLK,9
GBLN,20
GBND,24
GBOB,140
GBPR1,7
GBRA,832
GBRB,21
GBRG,72
GBRN,7
GBRU,142
GBST1,264
GBUF,8
GC101,3
GC107,4
GC108,2
GC109,4
GC112,3
GC113,2
GC114,4
GC115,2
GC116,1
GC117,2
GC119,6
GC120,5
GC121,10
GC122,3
GC124,8
GC125,7
GC126,8
GC127,6
GC128,7
GC129,2
GC130,1
GC131,9
GC132,3
GC133,3
GC134,4
GC25,1
GC31,6
GC37,1
GC46,5
GC48,5
GC49,1
GC53,6
GC61,8
GC63,11
GC83,3
GC87,9
GC89,4
GC9,1
GC92,2
GC93,6
GC97,3
GC99,10
GCLC,3
GCLG1,99
GCOOL1,3
GCOOL2,2
GCSD,41
GCY2512GRY,1
GCY3012GRY,2
GDAV,5
GDIGD1,3
GDIGD2,2
GDRN,6
GDRO,17
GDRY1,19
GDYS,1
GEDM,14
GEFF,1
GEMO1,18
GERTC,35
GERTG,6
GERTP,7
GESE,2
GFYF,6
GGEO1BC,18
GGEO1PB,25
