
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2019 through March 2020
17/04/2020,Page 1
10:37:51 am
Item No.,Item Name,April,May,June,July,August,September,October,November,December,January,February,March,Total
SST3G,Speed Straw 15.5x10cmH,26,1,0,41,13,13,17,14,38,35,9,25,232
SST3W,Speed Straw 15.5x10cmH,31,34,21,11,16,22,14,39,9,15,19,11,242
ST001,Pink Bear stick on,0,0,0,0,0,0,0,0,0,0,0,0,0
ST002,Blue Bear Stick On,0,0,0,0,1,0,0,0,0,1,0,0,2
STC3015,Tapered Cylinder Vase 30cmH,0,0,12,24,12,0,-6,6,0,0,0,0,48
STD1614,Glass Teardrop Vase 16cmH,0,0,0,0,0,48,12,24,48,72,12,0,216
STD2317,Glass Teardrop Vase 23.5cmH,0,0,0,12,0,24,53,36,36,0,0,0,161
STDROP26,Glass Teardrop Vase 25.5cmH,0,19,0,0,0,0,0,0,0,0,0,0,19
STDROP28,Glass Tear Drop Vase 27.5cmH,0,12,0,0,0,0,0,0,0,0,0,0,12
STL0507,Tealight Bowl. T7.5 B3 H4.5 Ma,0,0,0,0,0,0,0,0,0,0,0,0,0
STL0608,Tealight Solid Glass 6.5cmH,0,0,48,96,96,0,54,0,0,1,0,0,295
STL0708,Tealight Solid Glass 6.5cmH,0,0,0,48,48,0,0,0,0,1,0,70,167
STL0709,Glass Tealight Holder 7.5cmH,0,0,0,0,0,0,0,58,0,0,0,24,82
STL0908,Glass Tealight Flare Top 9cmH,0,0,24,0,0,42,0,0,0,0,0,48,114
STOMBK,Stone Mesh BLACK 50cmx5m,1,5,0,8,5,0,3,2,0,1,5,2,32
STOMCR,Stone Mesh CREAM 50cm x 5m,0,0,0,0,0,0,0,0,0,0,0,0,0
STOMHP,Stone Mesh HOT PINK 50cmx5m,6,13,2,1,4,6,6,2,2,8,3,2,55
STOMOR,Stone Mesh ORANGE 50cmx5m,6,8,1,5,0,0,0,0,0,0,0,0,20
STOMRE,Stone Mesh RED 50cmx5m,4,7,2,3,0,0,0,0,0,0,0,0,16
STOMSP,Stone Mesh SOFT PINK 50cmx5m,8,14,1,15,6,9,0,0,0,0,0,0,53
STOMWH,Stone Mesh WHITE 50cmx5m,4,12,0,0,0,0,0,0,0,0,0,0,16
STOMYE,Stone Mesh YELLOW 50cmx5m,4,15,1,5,0,0,0,0,0,0,0,0,25
STOO,Tootsie Cow 24cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SVER1,Vern Kiwi 20cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SVER2,Vern Kiwi 27cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHBFS,Silk NW White Sheets. 50cm x 6,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHPDR,Silk NW White Roll 60cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHPDS,Silk NW White Sheets. 50cm x 6,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHR,Silk NW White Roll 60cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHROR,Silk NW White Roll 47cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHS,Silk NW White Sheets. 50cm x 6,0,0,0,0,0,0,0,0,0,0,0,0,0
SWHSWS,Silk NW White Sheets. 50cm x 6,0,0,0,0,0,0,0,0,0,0,0,0,0
SWIL,Wilbur Lamb 21cm,0,0,0,0,0,0,33,37,27,33,43,6,179
SWV3017,Glass Waist Vase 30.5cmH,12,4,8,4,12,28,42,24,8,12,0,7,161
SYEBFS,Silk Butterfly NW Yellow Sheet,0,0,0,0,0,0,0,0,0,0,0,0,0
SYEPDR,Silk NW Yellow Roll 60cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SYEPDS,Silk NW Yellow Sheets. 50cm x,0,0,0,0,0,0,0,0,0,0,0,0,0
SYER,Silk NW Yellow Roll 60cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SYEROR,Silk Rose Print NW Yellow Roll,0,0,0,0,0,0,0,0,0,0,0,0,0
SYES,Silk NW Yellow Sheets. 50cm x,0,0,0,0,0,0,0,0,0,0,0,0,0
SYESWS,Silk NW Yellow Sheets. 50cm x,0,0,0,0,0,0,0,0,0,0,0,0,0
T-SHIRT,teewh 10cm x 8.5cm,350,690,506,50,855,957,"1,357",877,960,665,780,817,"8,864"
T-Shirt-SKE1,Kiwi Singlet,0,0,0,0,0,0,0,0,0,0,0,0,0
T-SHIRT-SKE1,T-Shirt for Kiwi,1,150,6,12,172,24,218,182,0,0,928,6,"1,699"
T13200,Glass Cylinder Vase Set of 3,7,16,5,14,13,28,18,2,3,6,21,2,135
T13300,Glass Conical Vase Set of 3,6,68,0,0,0,0,15,9,8,1,15,0,122
T17.007.24,Tissue 17g Deluxe Acid Free 24,0,0,0,0,0,0,0,0,0,0,0,0,0
