
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
16/04/2020,Page 1
4:06:25 pm
Item No.,Item Name,On Hand,Committed,On Order,Available
14987LA,Posie Box No. 6 Lavender,439,0,0,439
14987LG,Posie Box No. 6 Lime 16x12cmH,321,0,0,321
14987MO,Posie Box No. 6 Moss 16x12cmH,626,0,0,626
14987NA,Posy Box No.6  Natural Kraft,561,0,0,561
14987OR,Posie Box No. 6 Orange,363,0,0,363
14987RE,Posie Box No. 6 Red 16x12cmH,405,0,0,405
14987VI,Posie Box No. 6 Violet,402,0,0,402
14987WH,Posie Box No. 6 White 16x12cmH,"2,249",0,0,"2,249"
14987YE,Posie Box No. 6 Yellow,242,0,0,242
14988BRT,Posy Box Mini 20Pk MIX Bright,106,0,0,106
14988PSL,Posy Box Mini 20Pk MIX Pastel,115,0,0,115
1506003WH,Tin Watering Can White,9,0,0,9
1506004WH,Metal Oval Bucket,48,0,0,48
151002GO,Metal Pot Brass Gold,32,0,0,32
151002RGO,Metal Pot Rose Gold,18,0,0,18
151003GO,Metal Plant Large Brass Gold,32,0,0,32
151003RGO,Metal Pot Large Rose Gold,17,0,0,17
151004GO,Metal Pot XLarge Brass Gold,26,0,0,26
151004RGO,Metal Pot XLarge Rose Gold,9,0,0,9
16004010,Basket with Liner Set of 2,5,0,0,5
16475BR,Wooden Planter Squ Flower Brow,5,0,0,5
18539RE,Pull Bow Red Pk 25,4,0,0,4
20030RE,Corrugated Paper Wrap Red,19,0,0,19
2003BK,Ribbon Satin Double Face Black,31,0,0,31
2003IV,Ribbon Satin Double Face Ivory,28,0,0,28
2003RD,Ribbon Satin Double Face Red,35,0,0,35
2003WH,Ribbon Satin Double Face White,36,0,0,36
201602,Tape Packing Brown 38mmx75m,36,0,0,36
201603,Tape Packing Clear 48mmx75m,29,0,0,29
201605,Tape Clear 18mmx66m,57,0,0,57
201608,Tape Gun Floral Basics Red,24,0,0,24
201609,Pricing Gun Red,15,0,0,15
201610,Pricing Stickers 10 rolls,74,0,0,74
201611,Price Gun Ink Rolls Black,46,0,0,46
201618,Florist Bistro Apron Black,28,0,0,28
20201WH,Ceramic Cube Set of 2 White,153,0,0,153
20202BK,Ceramic Cube Set of 2 Black,0,2,0,-2
20202CR,Ceramic Bondi Cube 15x15x15cmH,5,0,0,5
20202MO,Ceramic Cube Set of 2 Moss,0,2,0,-2
20202WH,Ceramic Cube Set of 2 White,203,0,0,203
20205BK,Black Square Tank Set of 2,91,0,0,91
20205WH,Ceramic Square Tank S/2 White,37,0,0,37
20209MO,Ceramic Rectangle Moss Trough,52,0,0,52
20210MO,Ceramic Rectangle Moss Trough,32,0,0,32
20210WH,Cermaic Rectangle White Trough,20,0,0,20
20218MO,Ceramic Bondi Cylinder Moss,5,0,0,5
20219BK,Ceramic Bondi Cylinder Black,10,0,0,10
20219WH,Ceramic Cylinder 19Dx14 WHITE,4,0,0,4
20221WH,Ceramic Bondi Cube White,165,0,0,165
20227WH,Ceramic Rectangle Vase White,35,0,0,35
20228BK,Ceramic Cube 10x10x10 BLK,14,0,0,14
20228WH,Ceramic Bondi Cube White,198,0,0,198
20302WH,Ceramic Taper Pot White,41,0,0,41
20308BK,Ceramic Flared Pot Black,1,0,0,1
20308MO,Ceramic Flared Square Pot Moss,31,0,0,31
20310MO,Ceramic Taper Footed Pot Moss,5,0,0,5
20311WH,Ceramic Taper Footd Pot 20x15H,14,0,0,14
20320MO,Ceramic Ship Bowl Moss,1,0,0,1
20326WH,Ceramic Flared Pot White,63,0,0,63
20329WH,Ceramic Square Tank S/2 White,8,0,0,8
2080600,Rondella Cello Pot Wraps Check,15,0,0,15
2080601,Rondella Cello Pot Wraps Check,9,0,0,9
2080620,Rondella Cello Pot Wraps Dots,4,0,0,4
2080621,Rondella Cello Pot Wraps Dots,4,0,0,4
2080622,Rondella Cello Pot Wraps Dots,9,0,0,9
21001100CR,Ribbon Lace Cream 60mmx10m,30,0,0,30
210011BCR,Ribbon Crochet Lace Cream,20,0,0,20
210011BWH,Ribbon Crochet Lace White,29,0,0,29
2100350GO,Metallic Braided Wire Gold,42,0,0,42
21032NA,Ribbon Natural Jute Flax,55,0,0,55
21033NA,Ribbon Jute Sewn Edge Natural,37,0,0,37
21033RD,Ribbon Jute Sewn Edge Red,2,0,0,2
21036NA,Ribbon Poly Flax Jute Natural,44,0,0,44
21037NA,Ribbon Poly Flax Jute Natural,29,0,0,29
21038NA,Ribbon Poly Flax Jute Natural,33,0,0,33
21046NA,Burlap Lace Ribbon Natural,15,0,0,15
21051BLK,Jute Ribbon Chevron Black,30,0,0,30
210925BL,Ribbon Organza Butterfly Blue,1,2,0,-1
210925OR,Ribbon Organza Burtterfly,3,0,0,3
211025BK,Ribbon Double Face Satin Black,62,0,0,62
211025BS,Ribbon Satin Silver,18,0,0,18
211025BU,Ribbon Satin Burgundy,16,0,0,16
211025IV,Ribbon Double Face Satin Ivory,27,0,0,27
211025RD,Ribbon Double Face Satin Red,31,0,0,31
211514L,Staples for HP88 6mm 5000,7,0,0,7
211525BK,Ribbon Double Face Satin Black,17,0,0,17
211525IV,Ribbon Double Face Satin Ivory,29,0,0,29
211525WH,Ribbon Double Face Satin White,15,0,0,15
211831BK,Ribbon Jute Stripes Black,22,0,0,22
211831WH,Ribbon Jute Stripes White,12,0,0,12
2118436WH,Ribbon Natural Linen Blossom,1,0,0,1
212525BK,Ribbon Double Face Satin Black,35,0,0,35
212525IV,Ribbon Double Face Satin Ivory,28,0,0,28
212525WH,Ribbon Double Face Satin White,21,0,0,21
2137012,Rondella Cello Pot Wraps Lint,6,0,0,6
213702,18in PRISMATIC HEART PATTERN,224,0,0,224
213825BK,Ribbon Double Face Satin Black,53,0,0,53
213825IV,Ribbon Double Face Satin Ivory,14,0,0,14
213825WH,Ribbon Double Face Satin White,27,0,0,27
214010,17in Just Married Balloon,35,0,0,35
214075,17in Emoticon Luv Red Balloon,47,0,0,47
214089,17in Inspired Script Balloon,20,0,0,20
214100,17in HVD Textures Hearts,36,0,0,36
214104,18in ANNIVERSARY HEARTS,5,0,0,5
214141,18in Its A Girl Bear & Bunny,7,0,0,7
214297,17in Super VD Graphic Balloon,30,0,0,30
214304,18in YSS Butterflies Balloon,27,0,0,27
214327,17in Get Well Stripe & Daisies,4,0,0,4
214329,18in BIRTHDAY TWINKLE STARS,5,0,0,5
214389,18in KISS ME LOTS OF HEARTS,170,0,0,170
214389p,18in KISS ME LOTS OF HEARTS,2,0,0,2
214426,17in YSS Dots and Daisies,34,0,0,34
214476,17in Happy Anniversary,18,0,0,18
214526,17in Mothers Day Flutterflies,50,0,0,50
214531,17in Love You Stripes,20,0,0,20
214552,18in WEDDING WISHES/BELLS,5,0,0,5
214587,18in ANNIVERSARY SWIRLS,4,0,0,4
215025BK,Ribbon Double Face Satin Black,7,0,0,7
215025WH,Ribbon Double Satin White,23,0,0,23
217425LI,Ribbon Grosgrain Dots Lime,13,0,0,13
217425VI,Ribbon Grosgrain Dots Violet,27,0,0,27
218125BK,Ribbon Plain Grosgrain Black,17,0,0,17
218125WH,Ribbon Plain Grosgrain White,19,0,0,19
218238BK,Ribbon Plain Grosgrain Black,18,0,0,18
218238RE,Ribbon Plain Grosgrain Red,47,0,0,47
218238WH,Ribbon Plain Grosgrain White,29,0,0,29
219238BB,Ribbon Grosgrain Stripes Blue,18,0,0,18
219238BK,Ribbon Grosgrain Stripes Black,161,0,0,161
219238BP,Ribbon Grosgrain Stripes Pink,41,0,0,41
219238LI,Ribbon Grosgrain Stripes Lime,9,0,0,9
219238RE,Ribbon Grosgrain Stripes Red,62,0,0,62
2199925BB,Cotton Ribbon Saddle Stitch,25,0,0,25
2199933HP,Herringbone Twill Ribbon Pink,5,0,0,5
2199937BLK,Cotton Ribbon Owl Black,31,0,0,31
2199937RE,Cotton Ribbon Owl Red,14,0,0,14
2199944BG,Ribbon Vintage Rose Beige,109,0,0,109
