
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
29/04/2020,Page 1
2:08:24 pm
Item No.,Item Name,On Hand,Committed,On Order,Available
14901SRE,Posie Box Mini Holly Red,0,0,0,0
14901SSI,Posie Box Mini Holly Silver,0,0,0,0
14903SBK,Posie Box Mini Heart Black,0,0,0,0
14904SBK,Posie Box Lgr Heart Black,0,0,0,0
14904SRE,Posie Box Lgr Heart Red,0,0,0,0
14905SBK,P/Box Sml Luv Heart Bk,0,0,0,0
14905SRE,Posie Box Mini Love Heart Red,0,0,0,0
14906SBK,Posie Box Lgr Love Heart Black,0,0,0,0
14906SRE,Posie Box Lgr Love Heart Red,0,0,0,0
14907SBP,Posie Box Mini Base Line Baby,0,0,0,0
14907SMO,Posie Box Mini Base Line Moss,0,0,0,0
14908SBP,Posie Box Lgr Base Line Baby P,0,0,0,0
14908SCH,Posie Box Lgr Base Line Chocol,0,0,0,0
14908SMO,Posie Box Lgr Base Line Moss,0,0,0,0
14909SLI,Posie Box Mini Side Line Lime,0,0,0,0
14910SHP,Posie Box Lgr Side Line Hot Pi,0,0,0,0
14910SYE,Posie Box Lgr Side Line Yellow,0,0,0,0
14911SBK,Posy Box - Valentine Heart Swi,0,0,0,0
14933WH,Cake Box & Lid 10x10x10cm Wh,0,0,0,0
149355BLU,Posy Box Mini Blush 12cmH,330,0,0,330
149355CH,Posy Box Mini Charcoal 12cmH,155,0,0,155
149355COOL,PosyBox Mini Sunrise MIX Pk/24,18,1,0,17
149355DP,Posy Box Mini Dusty Pink 12cmH,365,0,0,365
149355FO,Posy Box Mini Fog 13x12cmH,175,0,0,175
149355PST,Posy Box Mini Pistacchio 12cmH,153,0,0,153
149355RTP,Posy Box Mini Rose Taupe 12cmH,355,0,0,355
149355WARM,Posy Box Mini Dawn MIX Pk/24,28,0,0,28
14935MCR,Posy Box Mini Kraft 13x12cmH,"1,382",0,0,"1,382"
14935SAU,Posie Box Mini Aubergine,463,6,0,457
14935SBB,Posie Box Mini Baby Blue,473,0,0,473
14935SBK,Posie Box Mini Black 13x12cmH,"1,078",0,0,"1,078"
14935SBP,Posie Box Mini Baby Pink,"1,345",10,0,"1,335"
14935SBU,Posie Box Mini Burgundy,373,6,0,367
14935SCB,Posie Box Mini Cobalt Blue,335,0,0,335
14935SCH,Posie Box Mini Chocolate,127,0,0,127
14935SGO,Posie Box Mini Gold 13x12cmH,453,0,0,453
14935SHG,Posie Box Mini Hunter Green,465,0,0,465
14935SHP,Posie Box Mini Hot Pink,"1,181",10,0,"1,171"
14935SIV,Posie Box Mini Ivory 13x12cmH,483,0,0,483
14935SLA,Posie Box Mini Lavender,725,10,0,715
14935SLG,Posie Box Mini Lime Green,839,0,0,839
14935SMO,Posie Box Mini Moss 13x12cmH,756,0,0,756
14935SOR,Posie Box Mini Orange 13x12cmH,"1,141",10,0,"1,131"
14935SRE,Posie Box Mini Red 13x12cmH,"1,235",10,0,"1,225"
14935SSI,Posie Box Mini Silver 13x12cmH,491,0,0,491
14935SVI,Posie Box Mini Violet 13x12cmH,"1,591",10,0,"1,581"
14935SWH,Posie Box Mini White 13x12cmH,"5,865",20,0,"5,845"
14935SYE,Posie Box Mini Yellow 13x12cmH,"1,617",3,0,"1,614"
14937MCR,Posy Box Large Matte Kraft,144,0,0,144
14937SAU,Posie Box Large Aubergine,77,0,0,77
14937SBB,Posie Box Large Baby Blue,186,0,0,186
14937SBK,Posie Box Large Black 22x14cmH,306,0,0,306
14937SBP,Posie Box Large Baby Pink,305,0,0,305
14937SBU,Posie Box Large Burgundy,103,0,0,103
14937SCB,Posie Box Large Cobalt Blue,99,0,0,99
14937SCH,Posie Box Large Chocolate,119,0,0,119
14937SGO,Posie Box Large Gold 22x14cmH,170,0,0,170
14937SHG,Posie Box Large Hunter Green,177,0,0,177
14937SHP,Posie Box Large Hot Pink,167,0,0,167
14937SIV,Posie Box Large Ivory 22x14cmH,104,0,0,104
14937SLA,Posie Box Large Lavender,187,0,0,187
14937SLG,Posie Box Large Lime Green,102,0,0,102
14937SMO,Posie Box Large Moss 22x14cmH,238,0,0,238
14937SOR,Posie Box Large Orange,205,0,0,205
14937SRE,Posie Box Large Red 22x14cmH,141,0,0,141
14937SSI,Posie Box Large Silver,173,0,0,173
14937SVI,Posie Box Large Violet,153,0,0,153
14937SWH,Posie Box Large White 22x14cmH,"1,801",0,0,"1,801"
14937SYE,Posie Box Large Yellow,113,0,0,113
14939SGO,Posy Box Tall,0,0,0,0
1493L102SBK,Box w/Lid Mini Gloss Blk 13x12,0,0,0,0
1493L102SRE,Box w/Lid Mini Gloss Red 13x12,0,0,0,0
1493L102SWH,Box w/Lid Mini Gloss Wh 13x12H,0,0,0,0
1493L103SWH,Posy Box & Lid Large White,218,0,0,218
1494136,Sleeve 50pc Blomma Pink,11,0,0,11
1494138,Sleeve 50pc 38x45x14cm Blomma.,0,0,0,0
14941SBK,Posy Box Mini Barcode Black,0,0,0,0
14941SRE,Posy Box Mini Barcode Red,0,0,0,0
14951GO,Posie Box Mini Regency 13x12cm,0,0,0,0
14957BK,Posy Box Large Barcode Black,0,0,0,0
14958SHP,Posy Box Mini Poker/Dots,0,0,0,0
14958SRE,Posie Box Mini Polka Dots Red,0,0,0,0
14959SBB,Posy Box Mini Stripe BB,0,0,0,0
14959SBP,Posy Box Mini Stripe BP,0,0,0,0
14960SBB,Posy Box Mini Congrat Blue,133,0,0,133
14964SBP,Posy Box Large Congrats BP,0,0,0,0
14965SGO,Mini Posy Box Gold Stripe,0,0,0,0
14965SRE,Mini Posy Box Red Stripe,0,0,0,0
14965SSI,Mini Posy Box Silver Stripe,0,0,0,0
14972SHP,Posie Box Mini Passion Hot Pin,0,0,0,0
14972SMC,Posie Box Mini Passion Mocha,0,0,0,0
14972SSG,Posie Box Mini Passion Sage Gr,0,0,0,0
14973SMO,Posie Box Mini DAMASK Border M,0,0,0,0
14973SSI,Posie Box Mini DAMASK Border S,0,0,0,0
14976SBK,Posie Box Mini Dots Black,0,0,0,0
14976SHP,Posie Box Mini Dots Hot Pink,0,0,0,0
14976SLA,Posie Box Mini Dots Lavender,150,0,0,150
14976SLE,Posie Box Mini Dots Lemon,0,0,0,0
14976SMI,Posie Box Mini Dots Mint,6,0,0,6
14976SRE,Posie Box Mini Dots 13x12 Red,0,0,0,0
14977SCR,Posie Box Mini Filigre Latte,0,0,0,0
14979SRE,Posie Box Mini Dahlia Red 13x1,0,0,0,0
14981SHP,Posie Box Mini Daisy Hot Pink,0,0,0,0
14982SBU,Posie Box Mini French Lace Bur,0,0,0,0
14982SHP,Posie Box Mini Lace H.Pk 13x12,0,0,0,0
14982SRE,Posie Box Mini French Lace Red,0,0,0,0
14984SBK,Posie Box Mini Hibiscus Black,0,0,0,0
